id;name;department;municipality;years_works;type_person;rol
2119;Hector Guillermo Castañeda Amortegui;CUNDINAMARCA;TENJO;1;PREFERENTE;OTRO
2120;Mary Luz Ortiz Garcia;CUNDINAMARCA;TENJO;8;PREFERENTE;POLITICO
2121;Jose Rene Romero Correa;CUNDINAMARCA;TENJO;11;PREFERENTE;ACTOR
2122;Bernardo De Jesus Monsalve Jaramillo;ANTIOQUIA;SANTO_DOMINGO;2;PREFERENTE;CANTANTE
2123;Annie Esmeralda Velazco Barajas;BOYACA;SOATA;9;PREFERENTE;CANTANTE
2124;Jose Luis Celiz Peinado;CESAR;CHIRIGUANA;11;PREFERENTE;POLITICO
2125;Brillis Paola Wilches Perez;CESAR;ASTREA;5;PREFERENTE;OTRO
2126;Zury Dayana Rodriguez Zambrano;CAUCA;POPAYAN;6;PREFERENTE;POLITICO
2127;Eider Yesid Parra Sanchez;CAUCA;POPAYAN;13;PREFERENTE;POLITICO
2128;Fernando Ferlein Mateus Peña;SANTANDER;SUCRE;1;PREFERENTE;POLITICO
2129;Aryileing Messa Arboleda;VALLE;YOTOCO;7;PREFERENTE;CANTANTE
2130;Cesar Augusto Robayo Alvarez;META;RESTREPO;0;NO APLICA;OTRO
2131;Gloria Nelcy Cifuentes Rios;CUNDINAMARCA;CHOCONTA;8;PREFERENTE;POLITICO
2132;Santos Manuel Pantoja Gomez;META;PUERTO_RICO;8;PREFERENTE;CANTANTE
2133;Isbelia Cecilia Villalba Ruiz;SUCRE;SINCELEJO;83;PREFERENTE;POLITICO
2134;John Jairo Moreno Arenas;ANTIOQUIA;ANZA;8;PREFERENTE;ACTOR
2135;Francisco Javier Ospina Alvarez;ANTIOQUIA;ANZA;9;PREFERENTE;ACTOR
2136;Luis Fernando Carmona Guevara;BOLIVAR;SAN_JACINTO_DEL_CAUCA;10;PREFERENTE;OTRO
2137;Miguel Angel Bonilla Ruiz;NARIÑO;EL_CHARCO;13;PREFERENTE;CANTANTE
2138;Jose Lubino Guaquez Torres;PUTUMAYO;PUERTO_ASIS;81;PREFERENTE;ACTOR
2139;Haydee Daniels Garcia;BOLIVAR;TALAIGUA_NUEVO;6;PREFERENTE;POLITICO
2140;Nondier Arias;TOLIMA;HERVEO;0;NO APLICA;OTRO
2141;Lorena Del Pilar Rincon Agudelo;BOYACA;CORRALES;6;PREFERENTE;POLITICO
2142;Faber Steven Brausin Brausin;CUNDINAMARCA;TOCANCIPA;8;PREFERENTE;OTRO
2143;Carlos Alberto Beltran Camacho;QUINDIO;ARMENIA;1;PREFERENTE;POLITICO
2144;Diego Fernando Fernandez Morales;QUINDIO;ARMENIA;7;PREFERENTE;POLITICO
2145;Luz Patricia Serna Isaza;QUINDIO;ARMENIA;10;PREFERENTE;ACTOR
2146;Rodrigo Alberto Castrillon;QUINDIO;ARMENIA;16;PREFERENTE;POLITICO
2147;Fidel Castro Sanchez;SANTANDER;SAN_MIGUEL;0;NO APLICA;CANTANTE
2148;Ruth Esmit Martinez Ramirez;CESAR;SAN_ALBERTO;12;PREFERENTE;POLITICO
2149;Gregorio Rafael Padilla Villarreal;MAGDALENA;PEDRAZA;2;PREFERENTE;POLITICO
2150;Juan Antonio Altamiranda Madera;CORDOBA;LORICA;9;PREFERENTE;POLITICO
2151;Rosa Emilsen Garcia Mejia;QUINDIO;CALARCA;3;PREFERENTE;OTRO
2152;Ausberto Ustariz Daza;CESAR;SAN_DIEGO;1;PREFERENTE;OTRO
2153;Martha Dora Londoño Franco;META;MESETAS;5;PREFERENTE;POLITICO
2154;Libardo Cristancho Cadena;BOYACA;SANTANA;3;PREFERENTE;CANTANTE
2155;Nelly Pinzon Reyes;BOYACA;SANTANA;9;PREFERENTE;POLITICO
2156;Carlos Julio Moreno Restrepo;ANTIOQUIA;JARDIN;0;NO PREFERENTE;CANTANTE
2157;Ibeth Yelitza Acosta España;LA_GUAJIRA;HATONUEVO;9;PREFERENTE;OTRO
2158;Santiago Correa Pajaro;ANTIOQUIA;SAN_JUAN_DE_URABA;12;PREFERENTE;CANTANTE
2159;Enrique Monroy Pachon;BOYACA;TUNJA;13;PREFERENTE;OTRO
2160;Omel Isaac Mendoza;LA_GUAJIRA;ALBANIA;2;PREFERENTE;POLITICO
2161;Eliecer Segundo Solano Palacio;LA_GUAJIRA;ALBANIA;6;PREFERENTE;POLITICO
2162;Marcial Sandoval Ortiz;SANTANDER;BUCARAMANGA;81;PREFERENTE;POLITICO
2163;Marina Nova Gualdron;SANTANDER;BUCARAMANGA;82;PREFERENTE;POLITICO
2164;Mauricio Arce Cruz;VALLE;YOTOCO;3;PREFERENTE;CANTANTE
2165;Rosa Elvira Duarte Centeno;BOYACA;SAN_MATEO;4;PREFERENTE;POLITICO
2166;Carmen Ana Maldonado Burgos;SUCRE;SINCELEJO;81;PREFERENTE;OTRO
2167;Daniela Fernanda Chantre Vargas;HUILA;TERUEL;6;PREFERENTE;CANTANTE
2168;Juan Carlos Cadavid Montoya;ANTIOQUIA;VENECIA;5;PREFERENTE;OTRO
2169;Maricela Gomez Hernandez;CUNDINAMARCA;SUESCA;3;PREFERENTE;POLITICO
2170;Jorge Humberto Aristizabal Jimenez;ANTIOQUIA;PUERTO_BERRIO;5;PREFERENTE;POLITICO
2171;Cesar Hernando Sanchez Sanchez;CAUCA;POPAYAN;4;PREFERENTE;POLITICO
2172;Efrain Hidaldo Ruiz;CAUCA;POPAYAN;14;PREFERENTE;CANTANTE
2173;Zonia Smith Gutierrez Gutierrez;BOYACA;AQUITANIA_(PUEBLOVIEJO);9;PREFERENTE;OTRO
2174;Miladis Otalvarez Mora;BOLIVAR;REGIDOR;5;PREFERENTE;POLITICO
2175;Juan Manuel Florez Garcia;BOLIVAR;REGIDOR;6;PREFERENTE;CANTANTE
2176;Johnny Said Cuervo Torres;BOGOTA D.C.;BOGOTA._D.C.;83;PREFERENTE;CANTANTE
2177;Maria Cecilia Moreno Santos;BOGOTA D.C.;BOGOTA._D.C.;91;PREFERENTE;POLITICO
2178;Julian Esteban Gomez Agudelo;ANTIOQUIA;SANTA_ROSA_DE_OSOS;0;NO PREFERENTE;POLITICO
2179;Damian Perez Arroyave;ANTIOQUIA;ENTRERRIOS;0;NO PREFERENTE;POLITICO
2180;Ubaldina De Las Mercedes Molano Zamudio;CUNDINAMARCA;MOSQUERA;8;PREFERENTE;POLITICO
2181;Lina Camila Cortes Acosta;CUNDINAMARCA;MOSQUERA;12;PREFERENTE;CANTANTE
2182;Jose Antonio Puin Parada;CUNDINAMARCA;MOSQUERA;14;PREFERENTE;CANTANTE
2183;Enrique Lucio Estarita Pereira;BOLIVAR;CALAMAR;7;PREFERENTE;POLITICO
2184;Marqueza Ester Ospino Iriarte;BOLIVAR;CALAMAR;9;PREFERENTE;CANTANTE
2185;Moises Maria Cortes Garcia;CASANARE;OROCUE;4;PREFERENTE;POLITICO
2186;Ancizar Guzman Torres;META;PUERTO_LOPEZ;4;PREFERENTE;ACTOR
2187;Jhon Alexis Payan Bravo;META;PUERTO_LOPEZ;6;PREFERENTE;OTRO
2188;Martha Lucia Rivera Rangel;META;PUERTO_LOPEZ;10;PREFERENTE;ACTOR
2189;Debis Fontalvo Alvear;BOLIVAR;SAN_ESTANISLAO;7;PREFERENTE;CANTANTE
2190;Segundo Eusebio Guzman Cepeda;BOYACA;CUBARA;3;PREFERENTE;CANTANTE
2191;Nelson Ruiz Sanchez;VALLE;GINEBRA;0;NO PREFERENTE;POLITICO
2192;Diego Antonio Ospina Rojas;ANTIOQUIA;SANTA_BARBARA;8;PREFERENTE;CANTANTE
2193;Adriana Rocio Porras Cervera;TOLIMA;LERIDA;6;PREFERENTE;OTRO
2194;Ferney Marino Dosman Diaz;VALLE;ZARZAL;11;PREFERENTE;OTRO
2195;Antonio Caicedo;CAUCA;ROSAS;9;PREFERENTE;CANTANTE
2196;Cristian Andres Perlaza Araujo;META;PUERTO_RICO;2;PREFERENTE;OTRO
2197;Rosmir Cepeda Rodriguez;META;PUERTO_RICO;3;PREFERENTE;POLITICO
2198;Nidia Colorado Osorio;RISARALDA;NO APLICA;60;PREFERENTE;OTRO
2199;Willian Oney Ramos Miranda;NARIÑO;LA_TOLA;2;PREFERENTE;POLITICO
2200;Amilkar Ortiz Silva;NARIÑO;LA_TOLA;4;PREFERENTE;CANTANTE
2201;Marcelino Ortiz Ordoñez;NARIÑO;LA_TOLA;8;PREFERENTE;OTRO
2202;Nestor Armando Medina;CUNDINAMARCA;TABIO;6;PREFERENTE;CANTANTE
2203;Nacianceno Ortiz Monrroy;HUILA;ACEVEDO;0;NO APLICA;POLITICO
2204;Angela Paola Puentes Ruiz;BOYACA;SUTAMARCHAN;9;PREFERENTE;CANTANTE
2205;Nelson Augusto Martinez Bolaño;ATLANTICO;CANDELARIA;1;PREFERENTE;POLITICO
2206;Valerie Del Carmen Rodriguez Escobar;ATLANTICO;CANDELARIA;6;PREFERENTE;POLITICO
2207;Eliana Rios Devia;CAQUETA;EL_PAUJIL;8;PREFERENTE;POLITICO
2208;Walter Dario Londoño Ospina;ANTIOQUIA;SAN_ROQUE;0;NO APLICA;POLITICO
2209;Sofia Medina Serrano;SANTANDER;GALAN;0;NO APLICA;POLITICO
2210;Luis Felipe Agudelo;ANTIOQUIA;ITAGUI;0;NO PREFERENTE;CANTANTE
2211;Alfonso Noguera Camargo;HUILA;LA_PLATA;5;PREFERENTE;POLITICO
2212;Vicente Burgos Achury;HUILA;LA_PLATA;14;PREFERENTE;POLITICO
2213;Yeny Emilce Otalora Villanueva;HUILA;LA_PLATA;15;PREFERENTE;ACTOR
2214;Fredy De Jesus Mendoza Yustre;ARAUCA;ARAUCA;1;PREFERENTE;ACTOR
2215;Maria Del Carmen Perez Nieves;ARAUCA;ARAUCA;11;PREFERENTE;OTRO
2216;Edgar Adrian Acero Castellanos;SANTANDER;BARRANCABERMEJA;3;PREFERENTE;CANTANTE
2217;Jerquin Cardosi Rocha;BOLIVAR;MARIA_LA_BAJA;5;PREFERENTE;POLITICO
2218;Oscar Luis Navarro Ramirez;BOLIVAR;MARIA_LA_BAJA;8;PREFERENTE;POLITICO
2219;Nelsi Maria Julio Morales;BOLIVAR;MARIA_LA_BAJA;9;PREFERENTE;OTRO
2220;Miguel Agamez Julio;BOLIVAR;MARIA_LA_BAJA;12;PREFERENTE;OTRO
2221;Alexander De Jesus Goez Giraldo;ANTIOQUIA;URAMITA;2;PREFERENTE;CANTANTE
2222;Gildardo Antonio Idarraga Giraldo;ANTIOQUIA;CARMEN_DE_VIBORAL;1;PREFERENTE;CANTANTE
2223;Lisandro Gutierrez Riscanevo;CASANARE;TAMARA;1;PREFERENTE;CANTANTE
2224;Uberty De Jesus Ospina David;ANTIOQUIA;BURITICA;0;NO PREFERENTE;OTRO
2225;Ferlein Guerrero Gomez;CUNDINAMARCA;NILO;8;PREFERENTE;ACTOR
2226;German Peña Quiñones;NORTE_DE_SANTANDER;LOS_PATIOS;2;PREFERENTE;CANTANTE
2227;Audrey Stella Martinez Sanchez;NORTE_DE_SANTANDER;LOS_PATIOS;6;PREFERENTE;POLITICO
2228;Kelly Johanna Mantilla Gutierrez;NORTE_DE_SANTANDER;LOS_PATIOS;14;PREFERENTE;OTRO
2229;Reinaldo Ariza Moncada;SANTANDER;BOLIVAR;1;PREFERENTE;OTRO
2230;Jose Luis Quintero Sepulveda;BOYACA;SANTA_ROSA_DE_VITERBO;9;PREFERENTE;ACTOR
2231;Wilfer Jair Ortegon Cifuentes;CUNDINAMARCA;ZIPAQUIRA;10;PREFERENTE;ACTOR
2232;Luz Argenis Zuñiga Villarraga;VALLE;BOLIVAR;8;PREFERENTE;POLITICO
2233;Yoris Raquel Dueñas Cardiles;MAGDALENA;CIENAGA;3;PREFERENTE;POLITICO
2234;Jose Alberto Romero Perez;BOLIVAR;EL_CARMEN_DE_BOLIVAR;15;PREFERENTE;OTRO
2235;Delfina Heredia Salas;BOLIVAR;ARJONA;13;PREFERENTE;POLITICO
2236;Pedro Luis Amaya Caicedo;META;GUAMAL;8;PREFERENTE;CANTANTE
2237;Iris Guadalupe Pertuz Anaya;CESAR;EL_COPEY;6;PREFERENTE;POLITICO
2238;Jaider Antonio De La Hoz Ardila;CESAR;EL_COPEY;8;PREFERENTE;OTRO
2239;Jeison Andres Martelo Perez;ANTIOQUIA;ZARAGOZA;2;PREFERENTE;POLITICO
2240;Luis Fernando Romero;ANTIOQUIA;ZARAGOZA;4;PREFERENTE;POLITICO
2241;Virgilio Perez Doria;CORDOBA;SAN_PELAYO;7;PREFERENTE;ACTOR
2242;Jorge Gustavo Durango Durango;CORDOBA;SAN_PELAYO;13;PREFERENTE;POLITICO
2243;Manuel Antonio Orozco Sosa;MAGDALENA;FUNDACION;2;PREFERENTE;CANTANTE
2244;Anibal Rueda Perez;MAGDALENA;FUNDACION;3;PREFERENTE;ACTOR
2245;Contreras Martin Ana Flor;CUNDINAMARCA;MANTA;0;NO PREFERENTE;CANTANTE
2246;Isabelita Sanchez Orozco;CALDAS;BELALCAZAR;1;PREFERENTE;POLITICO
2247;Jorge Ivan Sanchez;ANTIOQUIA;GUATAPE;3;PREFERENTE;POLITICO
2248;Julia Amparo Caicedo;CAUCA;ROSAS;2;PREFERENTE;OTRO
2249;Luis Arnoldo Ararat Carabali;CAUCA;PADILLA;6;PREFERENTE;ACTOR
2250;Asceneth Sofia Fontalvo Orozco;ATLANTICO;PALMAR_DE_VARELA;6;PREFERENTE;CANTANTE
2251;Adolfo Villalba Cala;SANTANDER;OCAMONTE;6;PREFERENTE;CANTANTE
2252;Juan Diego Barrera Montoya;ANTIOQUIA;SAN_ROQUE;1;PREFERENTE;CANTANTE
2253;Alejandro Barrios Socarras;ANTIOQUIA;NECOCLI;10;PREFERENTE;CANTANTE
2254;Aleida Luz Agudelo Plaza;ANTIOQUIA;CACERES;1;PREFERENTE;CANTANTE
2255;Heliodora Maria Vaquero Rodriguez;ANTIOQUIA;CACERES;8;PREFERENTE;CANTANTE
2256;Carlos Alberto Morales Ramirez;CALDAS;MARMATO;4;PREFERENTE;POLITICO
2257;Karol Johana Valencia Ospina;CALDAS;MARMATO;8;PREFERENTE;CANTANTE
2258;Andres Jovanny Barajas Avila;BOYACA;MOTAVITA;6;PREFERENTE;POLITICO
2259;Luis Alfonso Mayorga Gomez;CALDAS;CHINCHINA;3;PREFERENTE;OTRO
2260;Pedro Javier Guerra Chinchia;LA_GUAJIRA;DISTRACCION;0;NO APLICA;POLITICO
2261;Diana Carolina Franco Villamizar;BOYACA;CUBARA;6;PREFERENTE;POLITICO
2262;Olga Lucia Mazo Jaramillo;ANTIOQUIA;GIRARDOTA;10;PREFERENTE;POLITICO
2263;Olibardo Mesa Correa;ARAUCA;NO APLICA;54;PREFERENTE;CANTANTE
2264;Maria Hortencia Lobo Carrillo;NORTE_DE_SANTANDER;OCAÑA;1;PREFERENTE;ACTOR
2265;Luis Bernardo Gallego Cardona;VALLE;LA_VICTORIA;3;PREFERENTE;CANTANTE
2266;Carlos Orlando Linares Burgos;PUTUMAYO;NO APLICA;53;PREFERENTE;POLITICO
2267;Carlos Arturo Solano Vesga;SANTANDER;VILLANUEVA;2;PREFERENTE;POLITICO
2268;Crisostomo Archila Ovalle;SANTANDER;SIMACOTA;0;NO APLICA;CANTANTE
2269;Claudia Patricia Muñoz Sanchez;BOYACA;NUEVO_COLON;1;PREFERENTE;POLITICO
2270;Carmen Isabel Alvarado;ARAUCA;ARAUCA;81;PREFERENTE;OTRO
2271;Mauricio Cancino Garcia;CUNDINAMARCA;FACATATIVA;0;NO APLICA;POLITICO
2272;Lina Maria Arteaga Baena;ANTIOQUIA;SOPETRAN;1;PREFERENTE;OTRO
2273;Oswaldo Rubio Plazas;HUILA;LA_PLATA;10;PREFERENTE;POLITICO
2274;Mireya Edith Orozco Ayala;ATLANTICO;NO APLICA;0;NO PREFERENTE;CANTANTE
2275;Ignacio De Jesus Ramirez Torrado;ATLANTICO;NO APLICA;0;NO PREFERENTE;POLITICO
2276;Roque Tarquinio Sanchez Pacheco;CESAR;AGUACHICA;9;PREFERENTE;CANTANTE
2277;Yeison Jose Rodriguez Maza;ATLANTICO;BARANOA;5;PREFERENTE;ACTOR
2278;Hugo Fernando Martinez Cisneros;CASANARE;HATO_COROZAL;5;PREFERENTE;POLITICO
2279;Mychael David Tovar Rodriguez;CUNDINAMARCA;YACOPI;4;PREFERENTE;OTRO
2280;Reiven Stiven Mazo Pino;ANTIOQUIA;SAN_JOSE_DE_LA_MONTAÑA;5;PREFERENTE;CANTANTE
2281;Olga Patricia Ramirez Cardenas;ANTIOQUIA;PUERTO_NARE_LA_MAGDALENA;0;NO PREFERENTE;POLITICO
2282;Osman Alberto Muñoz Sucerquia;ANTIOQUIA;PUERTO_NARE_LA_MAGDALENA;0;NO PREFERENTE;POLITICO
2283;Maria Elena Gil Gonzalez;RISARALDA;LA_VIRGINIA;2;PREFERENTE;ACTOR
2284;Jose Reinel Rios Villar;CUNDINAMARCA;UBAQUE;0;NO PREFERENTE;CANTANTE
2285;Carlos Abdon Lavado Cruz;CUNDINAMARCA;UBAQUE;0;NO PREFERENTE;POLITICO
2286;Yolanda Hernandez Hernandez;META;PUERTO_RICO;6;PREFERENTE;CANTANTE
2287;Yesid Palomino Quiñonez;CESAR;GAMARRA;6;PREFERENTE;OTRO
2288;Jhon Henry Mendoza Quintero;CESAR;GAMARRA;8;PREFERENTE;CANTANTE
2289;Hernan Dario Fernandez Molina;CESAR;GAMARRA;10;PREFERENTE;POLITICO
2290;Arcenio Madariaga Caballero;CESAR;PAILITAS;4;PREFERENTE;CANTANTE
2291;Loren Rocio Castillo Toro;PUTUMAYO;VILLAGARZON;7;PREFERENTE;CANTANTE
2292;Amaliel Alexy Gomez Nene;PUTUMAYO;VILLAGARZON;9;PREFERENTE;OTRO
2293;Cruz Emilio Caballero Sanchez;HUILA;PITALITO;9;PREFERENTE;POLITICO
2294;Paoly Eugenia Sandoval Ortiz;HUILA;PITALITO;10;PREFERENTE;POLITICO
2295;Alvaro Calderon Vega;HUILA;PITALITO;12;PREFERENTE;POLITICO
2296;Jorge Leonel Tonguino Pantoja;PUTUMAYO;SAN_MIGUEL_(LA_DORADA);1;PREFERENTE;POLITICO
2297;Jose Alirio Pantoja Ruales;PUTUMAYO;SAN_MIGUEL_(LA_DORADA);12;PREFERENTE;CANTANTE
2298;Dora Alicia Patiño Marin;PUTUMAYO;SAN_MIGUEL_(LA_DORADA);13;PREFERENTE;POLITICO
2299;Rodrigo Ortiz Herrera;BOLIVAR;MOMPOS;5;PREFERENTE;POLITICO
2300;Wilson Gonzalez Caicedo;CAQUETA;EL_DONCELLO;6;PREFERENTE;CANTANTE
2301;Jose German Quilcue Fince;HUILA;LA_PLATA;0;NO PREFERENTE;OTRO
2302;Kelly Johanna Arenas Galeano;CUNDINAMARCA;AGUA_DE_DIOS;5;PREFERENTE;POLITICO
2303;Sikiur Elena Jimenez Sarmiento;ATLANTICO;MANATI;9;PREFERENTE;POLITICO
2304;Oscar Fabian Almanza Moreno;SUCRE;PALMITO;1;PREFERENTE;CANTANTE
2305;Omar Antonio Florez Betancur;ANTIOQUIA;VENECIA;4;PREFERENTE;POLITICO
2306;Gildardo Diaz Cuartas;CUNDINAMARCA;NILO;2;PREFERENTE;CANTANTE
2307;Janer Wilian Montesino Quiñonez;BOLIVAR;REGIDOR;3;PREFERENTE;POLITICO
2308;Yarihsi Mavel Pushaina Uriana;LA_GUAJIRA;ALBANIA;6;PREFERENTE;OTRO
2309;Jaime Vidal Solarte;CAUCA;PIENDAMO;2;PREFERENTE;CANTANTE
2310;Jose Humberto Valencia Avendaño;CAUCA;PIENDAMO;5;PREFERENTE;OTRO
2311;Silvio Manuel Orozco Chaux;CAUCA;PIENDAMO;9;PREFERENTE;ACTOR
2312;Marcos Arrepiche;META;PUERTO_LOPEZ;1;PREFERENTE;CANTANTE
2313;Fabian Andres Ramirez Perez;META;PUERTO_LOPEZ;5;PREFERENTE;CANTANTE
2314;Simon Alexis Diaz Rodriguez;META;PUERTO_LOPEZ;13;PREFERENTE;OTRO
2315;Esperanza Gil Pinzon;SANTANDER;GUADALUPE;1;PREFERENTE;ACTOR
2316;Edelberto Fonseca Porras;SANTANDER;GUADALUPE;5;PREFERENTE;POLITICO
2317;Fredy Omar Villa Orozco;MAGDALENA;FUNDACION;8;PREFERENTE;OTRO
2318;Jose Del Carmen Bareño Arciniegas;GUAVIARE;ELRETORNO;9;PREFERENTE;CANTANTE
2319;Fredy Lozano Guzman;GUAVIARE;ELRETORNO;10;PREFERENTE;POLITICO
2320;Arnulfo Romero Merchan;BOYACA;PACHAVITA;1;PREFERENTE;POLITICO
2321;Luis Alfonso Roncancio Roncancio;BOYACA;PACHAVITA;6;PREFERENTE;POLITICO
2322;Miguel Angel Barraza Villa;ATLANTICO;BARANOA;2;PREFERENTE;OTRO
2323;Tatiana Margarita Barrios Rada;ATLANTICO;BARANOA;6;PREFERENTE;POLITICO
2324;Mauricio Jose Villareal Herrera;MAGDALENA;PEDRAZA;2;PREFERENTE;OTRO
2325;Hector Ivan Castro Bohorquez;CUNDINAMARCA;QUIPILE;5;PREFERENTE;ACTOR
2326;Carlos Arturo Sotelo Gonzalez;CUNDINAMARCA;ZIPAQUIRA;4;PREFERENTE;ACTOR
2327;Yoel Blanchar Plata;LA_GUAJIRA;NO APLICA;54;PREFERENTE;CANTANTE
2328;Hergson Hernando Caceres Robles;CASANARE;SAN_LUIS_DE_PALENQUE;3;PREFERENTE;CANTANTE
2329;Margarita Socorro Bonilla Hurtado;ANTIOQUIA;HISPANIA;4;PREFERENTE;CANTANTE
2330;Luis Alberto Rua Garcia;ANTIOQUIA;HISPANIA;5;PREFERENTE;POLITICO
2331;Bertha Jaramillo Angel;ANTIOQUIA;HISPANIA;6;PREFERENTE;CANTANTE
2332;Cesar Orlando Avila Vargas;BOYACA;VIRACACHA;0;NO APLICA;CANTANTE
2333;Jose Alfonso Ramos Mendoza;LA_GUAJIRA;URUMITA;8;PREFERENTE;CANTANTE
2334;Nilsen Arley Alvear Acosta;NARIÑO;SAMANIEGO;0;NO APLICA;POLITICO
2335;Eladio Hurtado Lerma;NARIÑO;EL_CHARCO;6;PREFERENTE;POLITICO
2336;Claudia Marcela Garzon Bonilla;CUNDINAMARCA;GUATAVITA;3;PREFERENTE;CANTANTE
2337;Lucila Rosa Ortiz;ANTIOQUIA;JARDIN;4;PREFERENTE;POLITICO
2338;Lazaro Julio Ramirez Cervantes;ATLANTICO;LURUACO;0;NO APLICA;POLITICO
2339;Michael Guillermo Cuellar Artunduaga;HUILA;AIPE;9;PREFERENTE;CANTANTE
2340;Marti Cecilia Hamburger Rivera;BOLIVAR;SAN_JACINTO;7;PREFERENTE;POLITICO
2341;Yustin Yecith Diaz Pertuz;BOLIVAR;SAN_JACINTO;10;PREFERENTE;CANTANTE
2342;Areff Antonio Issa Buitrago;SANTANDER;BUCARAMANGA;84;PREFERENTE;POLITICO
2343;Claudia Stella Tellez Gomez;BOYACA;VILLA_DE_LEIVA;1;PREFERENTE;OTRO
2344;Maria Lourdes Medina Arellano;BOYACA;VILLA_DE_LEIVA;7;PREFERENTE;CANTANTE
2345;Tatiana Julieth Ayala Lopez;SANTANDER;EL_CARMEN;0;NO PREFERENTE;OTRO
2346;Vidal Gonzalez Puentes;SANTANDER;EL_CARMEN;0;NO PREFERENTE;POLITICO
2347;Aldemar Barrera Mora;HUILA;TIMANA;1;PREFERENTE;POLITICO
2348;Rigo Deiner Mendez Diaz;HUILA;TIMANA;3;PREFERENTE;OTRO
2349;Juan Oviedo;HUILA;TIMANA;10;PREFERENTE;POLITICO
2350;Victor Emilio Martinez Gutierrez;CESAR;NO APLICA;61;PREFERENTE;CANTANTE
2351;Celestino Mojica Peña;SANTANDER;BUCARAMANGA;0;NO APLICA;POLITICO
2352;Luis Leonardo Macias Peña;CAUCA;PIAMONTE;1;PREFERENTE;OTRO
2353;Jose Silva Collazos;CAUCA;PIAMONTE;5;PREFERENTE;CANTANTE
2354;Juan De Dios Calderon Ramirez;SANTANDER;SIMACOTA;6;PREFERENTE;CANTANTE
2355;Yenni Catherine Ribero Rincon;SANTANDER;SIMACOTA;7;PREFERENTE;POLITICO
2356;Maria Elena Muñoz Mosca;CAQUETA;SAN_JOSE_DEL_FRAGUA;9;PREFERENTE;OTRO
2357;Andrea Villa Medina;META;PUERTO_RICO;11;PREFERENTE;POLITICO
2358;Bibiana Andrea Dominguez Buitrago;BOYACA;TINJACA;5;PREFERENTE;CANTANTE
2359;Jorge Edilberto Sanabria Matiz;CUNDINAMARCA;LA_VEGA;1;PREFERENTE;CANTANTE
2360;Jorge Ulloa Ordoñez;CUNDINAMARCA;LA_VEGA;3;PREFERENTE;ACTOR
2361;Pablo Emilio Carvajalino Cuadros;NORTE_DE_SANTANDER;TEORAMA;4;PREFERENTE;OTRO
2362;Benigno Rafael Martinez Paez;BOLIVAR;ARROYO_HONDO;4;PREFERENTE;POLITICO
2363;Henry Wilson Fernandez Garcia;BOYACA;LA_CAPILLA;6;PREFERENTE;POLITICO
2364;Salomon Mejia Mejia;SANTANDER;ARATOCA;0;NO APLICA;OTRO
2365;Pedro Rafael Rodriguez Vergara;BOLIVAR;EL_GUAMO;2;PREFERENTE;CANTANTE
2366;Oscar Gutierrez Mendoza;BOLIVAR;EL_GUAMO;6;PREFERENTE;POLITICO
2367;Maria Genoveva Aguirre Henao;CALDAS;PACORA;3;PREFERENTE;OTRO
2368;Lineth Del Socorro Sevilla Baleta;SUCRE;PALMITO;7;PREFERENTE;POLITICO
2369;Edilson Javier Valero Cogollo;SUCRE;PALMITO;8;PREFERENTE;ACTOR
2370;Nalis Esther Martinez Castro;MAGDALENA;CONCORDIA;5;PREFERENTE;POLITICO
2371;Carlos Julian Reales Lopez;CESAR;CHIMICHAGUA;5;PREFERENTE;POLITICO
2372;Angel Bernaded Arroyo Arrieta;MAGDALENA;SANTA_BARBARA_DE_PINTO;2;PREFERENTE;OTRO
2373;Lady Tatiana Arguello Niño;SANTANDER;SOCORRO;2;PREFERENTE;POLITICO
2374;Sandra Sarmiento Salazar;SANTANDER;SOCORRO;5;PREFERENTE;CANTANTE
2375;Nerelsy Alcendra Garcia;BOLIVAR;REGIDOR;9;PREFERENTE;ACTOR
2376;Carlos Arturo Santoyo Becerra;SANTANDER;FLORIDABLANCA;19;PREFERENTE;OTRO
2377;Samuel Robles Claro;CASANARE;YOPAL;4;PREFERENTE;POLITICO
2378;Aldubar Emilio Padilla Alvarez;CASANARE;YOPAL;9;PREFERENTE;POLITICO
2379;Miguel Antonio Gaitan Ortiz;CASANARE;YOPAL;11;PREFERENTE;POLITICO
2380;Luz Dary Lobo Gutierrez;CASANARE;YOPAL;12;PREFERENTE;POLITICO
2381;Gustavo Garcia Parra;CALDAS;MARMATO;7;PREFERENTE;CANTANTE
2382;David Felipe Castillo Cardenas;BOYACA;NO APLICA;57;PREFERENTE;OTRO
2383;Jose Arnubio Alcalde Reyes;CALDAS;SUPIA;7;PREFERENTE;POLITICO
2384;Nestor Julio Malagon Cruz;CUNDINAMARCA;SUESCA;0;NO APLICA;ACTOR
2385;Armando Efrain Aguirre Leon;NARIÑO;GUACHUCAL;0;NO APLICA;OTRO
2386;Faide Alberto Vergara Mercado;SUCRE;SINCELEJO;87;PREFERENTE;POLITICO
2387;Carmelo Rafael Causil Montiel;CORDOBA;CHINU;6;PREFERENTE;CANTANTE
2388;Jesus Maria Diaz Bertel;CORDOBA;CHINU;8;PREFERENTE;CANTANTE
2389;Custodio Rozo Rubio;BOYACA;CAMPOHERMOSO;7;PREFERENTE;POLITICO
2390;Alvaro Julian Rodriguez Murcia;CAQUETA;LA_MONTAÑITA;10;PREFERENTE;POLITICO
